ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1532872,ALEKSANYAN Artur,M,NA,NA,NA,Armenia,ARM,2024 Summer,2024,Summer,Paris,Wrestling,Mens Greco-Roman 97kg,Silver
1532873,AMOYAN Malkhas,M,NA,NA,NA,Armenia,ARM,2024 Summer,2024,Summer,Paris,Wrestling,Mens Greco-Roman 77kg,Bronze
1532874,GALSTYAN Slavik,M,NA,NA,NA,Armenia,ARM,2024 Summer,2024,Summer,Paris,Wrestling,Mens Greco-Roman 67kg,NA
1532944,HARUTYUNYAN Arsen,M,NA,NA,NA,Armenia,ARM,2024 Summer,2024,Summer,Paris,Wrestling,Mens Freestyle 57kg,NA
1532945,TEVANYAN Vazgen,M,NA,NA,NA,Armenia,ARM,2024 Summer,2024,Summer,Paris,Wrestling,Mens Freestyle 65kg,NA
1532951,ARENAS Lorena,F,NA,162,NA,Colombia,COL,2024 Summer,2024,Summer,Paris,Athletics,Womens 20km Race Walk,NA
1532951,ARENAS Lorena,F,NA,162,NA,Colombia,COL,2024 Summer,2024,Summer,Paris,Athletics,Marathon Race Walk Relay Mixed,NA
1533112,McKENZIE Ashley,M,NA,NA,NA,Jamaica,JAM,2024 Summer,2024,Summer,Paris,Judo,Men -60 kg,NA
1533136,BASS BITTAYE Gina Mariam,F,NA,161,NA,Gambia,GAM,2024 Summer,2024,Summer,Paris,Athletics,Womens 100m,NA
1533136,BASS BITTAYE Gina Mariam,F,NA,161,NA,Gambia,GAM,2024 Summer,2024,Summer,Paris,Athletics,Womens 200m,NA
1533176,CAMARA Ebrahima,M,NA,178,NA,Gambia,GAM,2024 Summer,2024,Summer,Paris,Athletics,Mens 100m,NA
1533188,RUEDA SANTOS Lizeth,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Triathlon,Womens Individual,NA
1533189,TAPIA VIDAL Rosa Maria,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Triathlon,Womens Individual,NA
1533190,GRAJALES Crisanto,M,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Triathlon,Mens Individual,NA
1533208,MAAROUFOU Hachim,M,NA,183,NA,Comoros,COM,2024 Summer,2024,Summer,Paris,Athletics,Mens 100m,NA
1533209,SAADI Maesha,F,NA,NA,NA,Comoros,COM,2024 Summer,2024,Summer,Paris,Swimming,Womens 50m Freestyle,NA
1533230,DIOSDADO Nuria,F,NA,NA,NA,Mexico,MEX,2024 Summer,2024,Summer,Paris,Artistic Swimming,Team,NA
